,input,category,target_scores
559,New Outdoor Camping Picnic Portable Folding Stove New Mini Ultra-light Combustor Alcohol Stove Camping Furnace,Stove,"{'Material': {'n/a': 1}, 'Stove Type': {'Alcohol Stove': 1}}"
560,BRS-71 Portable Outdoor Camping Stove Butagas LPG Gas Cooking 9800W Picnic Gas Stove Butane Gas Burner Bruciatore,Stove,"{'Brand Name': {'BRS': 1}, 'Fuel': {'Butagas LPG': 1}, 'Applicable Seasoning Type': {'Butagas LPG': 1}, 'Stove Type': {'Gas Stove': 1}}"
561,Gas refill adapter Convertor outdoor camping stove Gas Cylinder burner Accessories For Outdoor Hiking Survival Stove Parts,Stove,"{'Model': {'Gas refill adapter Convertor': 1}, 'Fuel': {'Gas': 1}, 'Material': {'n/a': 1}}"
562,KingCamp Portable Camping Stove Outdoor Gas Stove for Hiking Trekking Camping Hiking Picnic Gas Stoves Camping Equipment,Stove,"{'Fuel': {'Gas': 1}, 'Stove Type': {'Gas Stove': 1}}"
563,KingCamp Camping Gas Stove Mini Portable Stainless Steel Frame Durable Outdoor Cookware Tool for Family Party Picnic BBQ,Stove,"{'Fuel': {'Gas': 1}, 'Stove Type': {'Gas Stove': 1}}"
564,Portable Copper Fuel Alcohol Stove Mini Ultra-light Spirit Gas Stoves Camping Roast Food Small Hot Pot Windproof Cooking Hiking,Stove,"{'Fuel': {'n/a': 1}, 'Model': {'Alcohol Stove': 1}, 'Applicable Seasoning Type': {'-': 1}}"
565,Outdoor Camping Gas Stove Adapter Three-Leg Transfer Head Adaptor for Nozzle Gas Bottle Screwgate Stove Gear Accessories Hot,Stove,"{'Applicable Seasoning Type': {'Gas': 1}, 'Stove Type': {'Gas Stove': 1}}"
566,ALOCS CS-G18 Stainless Steel Aluminium Alloy Gas Stove Portable Gas Stove Furnace Multifunctional Camping Stove BBQOutdoor Stove,Stove,"{'Model': {'ALOCS CS-G18': 1}, 'Material': {'Stainless Steel': 1}}"
567,LANSHAN ZYH - 001 Camping Picnic Windproof Folding Gas Stove Ultralight Big Power Burners for Outdoor Camping Hiking With Box,Stove,"{'Fuel': {'n/a': 1}, 'Model': {'LANSHAN ZYH - 001': 1}, 'Stove Type': {'Gas Stove': 1}}"
568,Outdoor Camping Gas Stove Adapter Burner Connector Cylinder Fit Propane POL to QCC1 Coupler Bottle Adapter Save For Picnic,Stove,"{'Fuel': {'Gas': 1}, 'Stove Type': {'Gas Stove': 1}}"
569,Outdoor Gas Stove Tank Adapter Gas Refill Adapter Propane Gas Tank Cylinder Tank Accessories Flat Cylinder Coupler Bottle,Stove,"{'Fuel': {'Gas': 1}, 'Material': {'n/a': 1}, 'Stove Type': {'Gas Stove': 1}}"
570,Aotu Portable Folding Lotus Style Windproof Outdoor Butane Gas Stove Head &amp; 1.1L Aluminum Water Kettle Teapot Set,Stove,"{'Fuel': {'Gas': 1}, 'Stove Type': {'Gas Stove': 1}}"
571,BULIN Outdoor Stove Foldable Camping Foldable Split Gas Stove Picnic Burner Aluminum Alloy with Pouch 2017 NEW Arrival,Stove,"{'Model': {'Gas Stove': 1}, 'Applicable Seasoning Type': {'n/a': 1}, 'Material': {'Aluminum Alloy': 1}, 'Stove Type': {'Gas Stove': 1}}"
572,B6-A Three Gas  Camping Split Gas Stove Backpack Stove Outdoor Cookware Cooking Picnic Stove Portable  Gas Furnace  2018,Stove,"{'Material': {'n/a': 1}, 'Fuel': {'Gas': 1}, 'Brand Name': {'n/a': 1}, 'Model': {'Three Gas': 1}}"
573,Outdoor Gas Stove Tank Adapter Gas Refill Adapter Propane Gas Tank Cylinder Tank Accessories Flat Cylinder Coupler Bottle New,Stove,"{'Fuel': {'Gas': 1}, 'Model': {'n/a': 1}, 'Stove Type': {'Gas Stove': 1}}"
574,New 2018 Outdoor Gas Stove Camping Folding Furnace Portable Collapsible Split Furnace,Stove,"{'Model': {'1': 1}, 'Material': {'n/a': 1}}"
575,Fire Maple Titanium Camping Gas Stove Burner One Piece Portable Folding Lightweight Outdoor Camping Equipment Gear,Stove,"{'Fuel': {'Gas': 1}, 'Stove Type': {'Gas Stove': 1}}"
576,Outdoor Camping Portable Gas Burner Strong Power Blaze Split-Type Butane Stove Stainless Steel Picnic BBQ Gas Stove,Stove,"{'Fuel': {'Butane': 1}, 'Model': {'Gas Stove': 1}, 'Material': {'Stainless Steel': 1}, 'Stove Type': {'Gas Stove': 1}}"
577,OUTA Portable Stainless Steel Camping Alcohol Stove Outdoor Lightweight BBQ Picnic Wood Stove Firewood Furnace Solidified Stove,Stove,"{'Fuel': {'Firewood': 1}, 'Material': {'Stainless Steel': 1}}"
578,Tactical Military Helmet Cover For OPS-CORE Fast Helmet BJ PJ MH Gear Emerson,Helmet,"{'Head Circumference': {'n/a': 1}, 'Model Number': {'n/a': 1}}"
579,ROCKBROS Skiing Helmet EPS Integrally-molded Safety Ski Helmets Snow board Windproof Men Women Thermal Skateboard Headgear,Helmet,"{'Sport': {'Skiing': 1}, 'Applicable People': {'Men': 1}}"
580,Horse Riding Helmet Safety Helmet for Horse Rider Helmets 52-61 CM Equestrian Helmet,Helmet,"{'Sport': {'Riding': 1}, 'Head Circumference': {'52-61 CM': 1}}"
581,Children Adjustable Kid Bicycle Riding Skating Skateboard Safety Helmet Cycling Helmet,Helmet,"{'Brand Name': {'n/a': 1}, 'Applicable People': {'Child': 1}}"
582,3PCS SET Breathable Helmet Lightweight Full Face Racing Motorcycle Safety Men Women ABS Shell Motorbike Sports Helmet Protector,Helmet,"{'Applicable People': {'Men': 1}, 'Material': {'ABS': 1}}"
583,Men/Women Ski Helmet Snowboard Snowmobile Helmet Skateboard Moto Cycling Safety Helmet Mask Winter Snow Warm Fleece Matte Black,Helmet,"{'Applicable People': {'Men': 1}, 'Season': {'Winter': 1}}"
584,MagiDeal Winter Sports Safety Ski Helmet Autumn Winter Skiing Snowboard Equipment XL,Helmet,"{'Sport': {'Skiing': 1}, 'Brand Name': {'MagiDeal': 1}}"
585,Power Guidance Kids Cycling Helmet Children Bicycle Helmets Sweaty Comfortable For Outdoor Sports Riding Skating Exercise ,Helmet,"{'Material': {'n/a': 1}, 'Season': {'n/a': 1}, 'Applicable People': {'Child': 1}, 'Sport': {'Skating': 1}, 'Style': {'n/a': 1}}"
586,LumiParty Men/Women Skiing Helmet Adjustable Ski Skate Safty protective Helmet Equipment with Lens Head Protective Gear,Helmet,"{'Brand Name': {'LumiParty': 1}, 'Applicable People': {'Men': 1}, 'Sport': {'Skiing': 1}}"
587,OSHOW Ski Helmet Women For Adult Full-Covered Snowboard Helmet 58-62cm Head Apine Skiing Saftly Helmet Head Protector,Helmet,"{'Brand Name': {'OSHOW': 1}, 'Sport': {'Skiing': 1}}"
588,Unisex Adult Outdoor Skiing Helmet Ultralight Double Veneer Protection Helmet For Men&amp;Women Bicycle Cycling Helmet,Helmet,"{'Sport': {'Skiing': 1}, 'Applicable People': {'Men': 1}, 'Feature': {'Skiing Helmet': 1, 'Bicycle Cycling Helmet': 1}}"
589,Professional Hip-hop Boy Helmet Children Outdoor Sport Skateboard Skating Helmet Bicycle Helmet for Kids /Adults Free shipping,Helmet,"{'Applicable People': {'Child': 1}, 'Season': {'n/a': 1}}"
590,Xinda Professional Mountaineer Helmet Rock Climbing head protection hard hat Outdoor Camping &amp; Hiking Riding Drift Helmet,Helmet,"{'Applicable People': {'n/a': 1}, 'Sport': {'Rock Climbing': 1}}"
591,Ski Helmet Safety Integrally-molded Breathable Helmets Men Women Skateboard Skiing Helmet Size 52-59cm Windproof Head Protector,Helmet,"{'Sport': {'Skiing': 1}, 'Head Circumference': {'59cm': 1}, 'Applicable People': {'Men': 1}}"
592,2018 Men&#39;s Women&#39;s Half-covered Skiing Helmets Outdoor Sport Integrally-Molded Snowboard Skateboard Skating Ski Helmet,Helmet,"{'Applicable People': {'Men': 1}, 'Sport': {'Skiing': 1}, 'Style': {'Half-covered': 1}}"
593,NANDN Winter Professional Men Sports Skiing Helmet Mountaineering Snowboarding Helmet Women Skating Skateboard Roller Ski Helmet,Helmet,"{'Brand Name': {'NANDN': 1}, 'Applicable People': {'Men': 1}, 'Season': {'Winter': 1}}"
594,Maxkare Safety Helmet Hard Hat ABS Insulation Material With Phosphor Stripe Construction Site Insulating Protect Helmet capacete,Helmet,"{'Model Number': {'Safety Helmet': 1}, 'Material': {'ABS': 1}, 'Brand Name': {'Maxkare': 1}}"
595,VESSOS Tactical Helmet Clamp Adaptor for Fast Helmet Black Helmet Flashlight Clip Holder Outdoor Sports Cycling Headlight Mount,Helmet,"{'Material': {'n/a': 1}, 'Brand Name': {'VESSOS': 1}}"
596,Universal Tactical Helmet Cover For MICH 2000 Ver2 Men Cycling Outdoor Sports Paintball Sakte Portable Casco Ciclismo Helmet ,Helmet,"{'Style': {'Portable': 1}, 'Season': {'Universal': 1}, 'Applicable People': {'Men': 1}, 'Model Number': {'Tactical Helmet Cover For MICH 2000': 1}}"
597,Ski Helmet .  Integrally-molded Breathable Warm Adjustment Size 54cm-61cm Sports Safety Winter Helmet Skiing Snowboard Helmet ,Helmet,"{'Sport': {'Skiing': 1}, 'Season': {'Winter': 1}, 'Head Circumference': {'n/a': 1}}"
598,NEW Ski Helmet Snowboard Helmet Snow Sport Helmet with Fleece Liner Men Women Sports Protective Skating Skateboard Skiing Helmet,Helmet,"{'Model Number': {'Snowboard Helmet': 1}, 'Sport': {'Skiing': 1}, 'Applicable People': {'Men': 1}, 'Material': {'n/a': 1}}"
599,Professional Unisex Adult Ski Warm Breathable Helmet Brand New EPS + PC 54-62cm Outdoor Ski Helmet Sports Protective Gear,Helmet,"{'Model Number': {'n/a': 1}, 'Applicable People': {'n/a': 1}, 'Head Circumference': {'54-62cm': 1}}"
600,Goexplore Snow Helmet Adult Professional Ski Helmet  Man Women Skating Skateboard Snowboard Helmet Winter Sports Helmets,Helmet,"{'Brand Name': {'Goexplore': 1}, 'Season': {'Winter': 1}, 'Applicable People': {'Women': 1}}"
601,Size S 52cm Kids Skate Extreme Safety Helmet Skateboard Roller Skating Multipurpose Universal Cycling Helmet,Helmet,"{'Style': {'n/a': 1}, 'Season': {'Universal': 1}, 'Head Circumference': {'52cm': 1}}"
602,7 Pieces Universal Kids Children Skateboard Cycling Skating Helmet Wrist/Knee/Elbow Pad Protective Gear Set - Various Colors,Helmet,"{'Season': {'Universal': 1}, 'Applicable People': {'Child': 1}, 'Sport': {'Skating': 1}}"
603,Snow Helmet + ski Eyewear for Men Women&#39;s child Professional Winter Ultralight Female Snow Skate snowboard Helmets  ,Helmet,"{'Applicable People': {'Men': 1}, 'Feature': {'Ultralight': 1}}"
604,Vector 54-60cm Adjustable Protective Men Women Ski Helmet Winter Outdoor Skiing Skating Snow Sports,Helmet,"{'Season': {'Winter': 1}, 'Applicable People': {'Men': 1}, 'Sport': {'Skiing': 1}, 'Head Circumference': {'54-60cm': 1}}"
605,8Pcs Children Play &amp; Pretend Toys Educational Simulation Police Playset Sports Helmet Set,Helmet,"{'Applicable People': {'Child': 1}, 'Style': {'n/a': 1}}"
606,Safety Skiing Helmet Men Women Outdoor Sports Snow Gear Integrally-molded Protect Ski Helmet M/L/XL,Helmet,"{'Applicable People': {'Men': 1}, 'Sport': {'Skiing': 1}}"
607,Wake Board Good Quality Skiing/Skating ABS Full Cut Sports Helmet ,Helmet,"{'Sport': {'Skiing': 1}, 'Material': {'ABS': 1}}"
608,M-XL size Skiing Helmet ABS+EPA Ultralight snow Helmet mens womens outdoor Extreme Sports Snowboarding Helmet,Helmet,"{'Sport': {'Skiing': 1}, 'Material': {'ABS': 1}}"
609,53-62cm Snow Skateboard Helmet Men Women Ski Helmet Fleece Liner Adult Ski Snowboarding Sports Protective Skiing Helmet,Helmet,"{'Sport': {'Skiing': 1}, 'Applicable People': {'Men': 1}}"
610,Snowboard Ski Helmet Safety Integrally-molded Breathable Helmet Men Women Skateboard Skiing Helmet Size M L ,Helmet,"{'Sport': {'Skiing': 1}, 'Applicable People': {'Men': 1}, 'Season': {'n/a': 1}}"
611,Skull Skeleton Airsoft Paintball BB Gun Full Face Protect Mask Shot Helmets Foam padded inside Black eye shield Full Cover,Helmet,"{'Head Circumference': {'n/a': 1}, 'Material': {'Foam padded inside': 1}}"
612,Maxkare Safety Helmet  Hard Hats Cap Protector Construction Protective Helmets ABS Insulation Material Protect Helmets,Helmet,"{'Material': {'ABS': 1}, 'Model Number': {' Safety Helmet': 1}}"
613,VESSOS Memory Foam Pad Sports Safety Protection Pad for Airsoft Tactical Military Helmet Pads EX Helmet Upgrade Version,Helmet,"{'Brand Name': {'VESSOS': 1}, 'Style': {'n/a': 1}, 'Head Circumference': {'n/a': 1}}"
614,2018 Snow Unisex Ski Helmet Breathable Ultralight Skiing helmet For Men Women Snowboard Skateboard Winter Outdoor Sports Safety,Helmet,"{'Season': {'Winter': 1}, 'Applicable People': {'Men': 1}, 'Sport': {'Skiing': 1}}"
615,Adult Sport Ski Helmets PC+EPS Ultralight High Quality Snowboard Helmets Men Women Skating Skateboard Skiing Breathable Helmets,Helmet,"{'Sport': {'Skiing': 1}, 'Feature': {'n/a': 1}}"
616,CYBERTRON PILL Ski Helmet Dazzle White Breathable Shock Absorption and Shock Resistance Skin Material Outdoor Skiing Helmet,Helmet,"{'Sport': {'Skiing': 1}, 'Season': {'n/a': 1}}"
617,Best Outdoor Safety  Helmet For Skiing  Snowboard Skating  Adult  Men Women Winter Ski Helmets For Sale Black White Size Adjust,Helmet,"{'Sport': {'Skiing': 1}, 'Applicable People': {'Men': 1}, 'Season': {'Winter': 1}}"
618,Emerson Tactical Fast Helmet Cover For Ops-Core Ballistic Cycling Protected Safety Outdoor CS Game For Safety Helmet 11 Patterns,Helmet,"{'Material': {'n/a': 1}, 'Model Number': {'Tactical Fast Helmet Cover': 1}}"
619,Children Unisex EVA Taekwondo Helmet Kickboxing Helmet Sports Accessory Kungfu Professional Head Protectors Headgear,Helmet,"{'Applicable People': {'Child': 1}, 'Model Number': {'Kickboxing Helmet': 1}}"
620,Womail Hight Quliaty 2018 Men Hot Swimwear Swimming Pants Briefs Shorts Boxers Underwear Swimsuit ,Swimwear,"{'Brand Name': {'Womail': 1}, 'Gender': {'Men': 1}}"
621,Taddlee Brand Men Swimwear Swimsuits Swim Bikini Briefs Mens Swimming Boxers Trunks Surf Board Brazilian Classi Cut Shorts Gay,Swimwear,"{'Gender': {'Men': 1}, 'Description': {'Men Swimwear': 1, 'n/a': 1, 'Mens Swimming Boxers Trunks': 1}}"
622,2018 L-6XL Plus Size Swimwear Women Swimsuit With Shorts Two Pieces Tankini Large Size Skirt Beachwear Bathing Suit Bahter Y182,Swimwear,"{'Gender': {'Women': 1}, 'Model Number': {'Y182': 1}}"
623,ZAFUL Leopard High Cut Sexy One Piece Swimsuit Women Summer Swimwear Beach Bathing Suit Female Monokinis Backless Bodysuits,Swimwear,"{'Brand Name': {'ZAFUL': 1}, 'Gender': {'Women': 1}, 'Feature': {'Leopard High Cut Sexy One Piece Swimsuit': 1}}"
624,CUPSHE Tribe Fireworks Print Tassel Bikini Sets Women Triangle Bra High Waist Two Pieces Swimwear 2018 Girl Beach Swimsuits,Swimwear,"{'Gender': {'Women': 1}, 'Brand Name': {'CUPSHE': 1}, 'Pattern': {'Fireworks Print': 1}}"
625,2017 Newest Sexy Backless Bodysuits Black White Bathing Suits For Women Swimwear Sets Solid Monokinis One Pieces Swimsuit Set,Swimwear,"{'Model Number': {'One Pieces Swimsuit Set': 1}, 'Gender': {'Women': 1}, 'Pattern': {'Solid': 1}}"
626,NAKIAEOI 2018 One Piece Swimsuit Long Sleeve Swimwear Women Bathing Suit Swimsuit Print Floral One-piece Swim Suits Surfing Wear,Swimwear,"{'Gender': {'Women': 1}, 'Brand Name': {'NAKIAEOI': 1}, 'Pattern': {'Print': 1}, 'Feature': {'One-piece Swim': 1}}"
627,New Swim Trunks Men Breathable Sport Swimming Shorts Solid Swim Briefs Elastic Waist 3XL Beach Shorts Summer Swim Shorts for Men,Swimwear,"{'Gender': {'Men': 1}, 'Pattern': {'Solid': 1}, 'Feature': {'n/a': 1}}"
628,Girls Swimwear with Hearts /Classical Flowers Pattern fit 140-150 cm Kids Swimsuit Children One Pieces Swimming wear sw0640,Swimwear,"{'Gender': {'Girls': 1}, 'Model Number': {'sw0640': 1}}"
629,Flamingo Printing Swimming trunks Summer Beach Board Short Pants Quick-Drying Leisure Briefs Men&#39;s Swim Trunk Boxer Men Swimwear,Swimwear,"{'Model Number': {'Swimming trunks': 1}, 'Gender': {'Men': 1}, 'Pattern': {'Print': 1}}"
630,New Men Swimwear Sexy Swimming Trunks Sunga Hot Swimsuit Mens Swim Briefs Beach Shorts Swim Suits Summer,Swimwear,"{'Brand Name': {'n/a': 1}, 'Gender': {'Men': 1}}"
631,MUQGEW 2018 New Sexy Bikini High Cut Trikini Push Up Monokini Bathing Suit Swim Suit For Women Thong Swimwear One Piece Swimsuit,Swimwear,"{'Gender': {'Women': 1}, 'Model Number': {'Swimsuit': 1}, 'Brand Name': {'MUQGEW': 1}}"
632,Taddlee Brand Sexy Men&#39;s Swimwear Swimsuits Gay Penis Pouch Solid Yellow Low Rise Swim Briefs Bikini Men Bathing Suits Swimming,Swimwear,"{'Gender': {'Men': 1}, 'Pattern': {'Solid': 1}, 'Color': {'Yellow': 1}, 'Description': {'Sexy Men&#39;s Swimwear': 1, 'Men&#39;s Swimwear Swimsuits': 1, 'n/a': 1, 'Men Bathing Suits Swimming': 1}}"
633,Riseado 2018 High Cut One Piece Swimsuit Sexy Swimwear Women Female Printed Swimming Suits for Women Summer Beachwear,Swimwear,"{'Gender': {'Women': 1}, 'Pattern': {'Print': 1}, 'Brand Name': {'Riseado': 1}, 'Style': {'Sexy': 1}, 'Season': {'Summer Beachwear': 1}, 'Feature': {'High Cut': 1}}"
634,Sexy Swimwear Women Bandage Bikini Top Push-up Padded Bra Swimsuit Bathing Suit Soild Biquini Bandeau Bikini Tops For Women 2018,Swimwear,"{'Style': {'Bandage Bikini Top': 1}, 'Feature': {'Bikini Top Push-up': 1}}"
635,Vertvie Printed Bikinis Set Boxer Shorts Bowknot Swimsuit Swimwear For Women Brazilian Biquini Female Beach Wear Bathing Suit ,Swimwear,"{'Gender': {'Women': 1}, 'Model Number': {' Bikinis Set': 1}, 'Pattern': {'Print': 1}, 'Color': {'n/a': 1}}"
636,Taddlee Brand Mens Swimwear Swimsuits Swimming Briefs Bikini Gay Pouch WJ Men Surfing Swim Boxer Trunks Shorts Surf Board Shorts,Swimwear,"{'Gender': {'Men': 1}, 'Description': {'Mens Swimwear': 1, 'Men Surfing Swim Boxer Trunks Shorts': 1}}"
637,Men Swim Shorts Swimwear Swimming Trunks Underwear Running Boxer Briefs Pants US,Swimwear,"{'Model Number': {'Pant': 1}, 'Gender': {'Men': 1}}"
638,Riseado Sexy Mesh Transparent Swimwear Women One Piece Swimsuit Flower Printing Swimwear Bathing Suits Strap Summer Beach,Swimwear,"{'Gender': {'Women': 1}, 'Brand Name': {'Riseado': 1}, 'Pattern': {'n/a': 1}, 'Feature': {'Mesh': 1}, 'Style': {'Sexy': 1}}"
639,Sexy Women Plus Size Swimwear Large Cup Push Up Bikini Set Green &amp; Black Two Pieces Swimsuit For Women Bathing Suit ,Swimwear,"{'Color': {'Green': 1}, 'Style': {'Sexy': 1}}"
640,Zosmiu Maillot Print Tankini Swimsuit Women Sexy Two Pieces Swimwear Hot Summer Holiday Bathing Suit With Shorts Push Up Bikinis,Swimwear,"{'Gender': {'Women': 1}, 'Brand Name': {'Zosmiu': 1}, 'Pattern': {'Print': 1}}"
641,CUPSHE Healing Whisper Cross Bikini Set Women Brown Solid Triangle Two Pieces Swimwear 2018 Beach Bathing Suit Swimsuits,Swimwear,"{'Gender': {'Women': 1}, 'Brand Name': {'CUPSHE': 1}, 'Pattern': {'Solid': 1}}"
642,Holasukey 2018 New Sexy Bikinis Set One Pieces Swimwear Women Print Bikini Plus Size Swimsuit Women Monokini Biquini    ,Swimwear,"{'Gender': {'Women': 1}, 'Pattern': {'Print': 1}}"
643,OULING Women Sexy V Neck Padded Swimwear Vintage Retro Black Dots Swimsuit Swimwear Two Pieces Tankinis Large Size 3XL,Swimwear,"{'Pattern': {'Dot': 1}, 'Gender': {'Women': 1}, 'Brand Name': {'OULING': 1}, 'Color': {'Black': 1}}"
644,INSTANTARTS Unicorn Kid Baby Girls Swimsuit 2018 Cartoon One Pieces Children Swimwear Cute Horse Beachwear Swimming Bathing Suit,Swimwear,"{'Gender': {'Girls': 1}, 'Pattern': {'Cartoon': 1}}"
645,CALOFE Women Swimsuit Cute Solid Swimwear Female Lace Beach Bathing Suits Large Size Wear Biquini 2018 Women Bikini Push Up New,Swimwear,"{'Brand Name': {'CALOFE': 1}, 'Gender': {'Women': 1}}"
646,Austinbem Swimwear Men Zwembroek Heren Print Swimsuit Mens Swim Briefs Bathing Suit Sungas De Praia Homens 22901,Swimwear,"{'Model Number': {'229': 1}, 'Gender': {'Men': 1}, 'Pattern': {'Print': 1}}"
647,Fulaigesi Bikini Top women sexy solid push up swimsuit 2019 hot brazilian retro vintage Two Piece Separates swimwear Biquins bra,Swimwear,"{'Brand Name': {'Fulaigesi': 1}, 'Feature': {'n/a': 1}}"
648,PENERAN Swimwear Men Swimming Trunks for Bathing Big Size Man Swimsuit Swim Briefs Large Size Male Summer Shorts Beach 5XL 6XL M,Swimwear,"{'Gender': {'Men': 1}, 'Brand Name': {'PENERAN': 1}}"
649,CUPSHE Reversible Flamingo Flower Print Bikini Set Women Bottom Sides Tie 2 Piece Swimwear 2018 Beach Slim Bath Suit Swimsuits,Swimwear,"{'Gender': {'Women': 1}, 'Brand Name': {'CUPSHE': 1}}"
650,SBART Men Professional Swimming Briefs Sharkskin Underwear Trunks Swimwear Bathing Suit Mens Swimsuit Beachwear Plus Size 4XL,Swimwear,"{'Gender': {'Men': 1}, 'Model Number': {'n/a': 1}}"
651,LASPERAL 2017 Women One Pieces Swimsuits White Floral Print Sexy Halter Backless Swimwear Bikini Femme Bodysuit Plus Size S-5XL,Swimwear,"{'Gender': {'Women': 1}, 'Pattern': {'Print': 1}, 'Brand Name': {'LASPERAL': 1}, 'Model Number': {'One Pieces Swimsuits': 1}}"
652,Riseado New 2019 One Piece Swimsuit Sexy Cut Out Swimwear Women Floral Printing Swimsuits Bow Bathing Suits Beachwear,Swimwear,"{'Gender': {'Women': 1}, 'Pattern': {'Print': 1}, 'Brand Name': {'Riseado': 1}, 'Feature': {'Cut Out': 1}, 'Style': {'Sexy': 1}}"
653,2017 New Arrival Sexy Women Special Design Bikinis Sets Lovely Cute Fancy Halter Swimwear Swimsuit Triangle Bikini  For Swimming,Swimwear,"{'Gender': {'Women': 1}, 'Model Number': {'Swimwear': 1}}"
654,Hot Sale Mens Breathable Swim Trunks Pants Swimwear Shorts Slim Wear Bikini Swimsuit Briefs maillot de bain zwembroek heren,Swimwear,"{'Gender': {'Men': 1}, 'Model Number': {'Briefs': 1}}"
655,Neploe 2018 New Print Pineapple Children Bikini Set Lace Up Halter Girls Swimsuit Backless Two Pieces Patchwork Swimwear 42247,Swimwear,"{'Brand Name': {'Neploe': 1}, 'Model Number': {'42247': 1}, 'Pattern': {'Print': 1}, 'Gender': {'Girls': 1}}"
656,2018 Summer Women Bikinis Set Sexy Halter Bandage Swimsuits Brazilian Push Up Bathing Suits Swimwear Female Bikinis Beachwear,Swimwear,"{'Gender': {'Women': 1}, 'Model Number': {'Swimsuit': 1}, 'Color': {'n/a': 1}}"
657,Trendy Men High-grade Printing Large Size XXXL Swimming Trunks BriefsElastic Male Shorts Beach Swimswear,Swimwear,"{'Gender': {'Men': 1}, 'Pattern': {'Print': 1}}"
658,Bikini 2017 New Bandage Bikinis Set Push Up Swimwear Women Swimsuit Sexy Beach Yellow Bikinis Floral Bathing Suit Women Biquin,Swimwear,"{'Gender': {'Women': 1}, 'Brand Name': {'n/a': 1}}"
659,Taddlee Brand Men Surf Board Trunks Shorts Gay Penis Pouch Pad Inside WJ Sexy Men&#39;s Swimwear Swimsuits Swim Boxer Briefs,Swimwear,"{'Gender': {'Men': 1}, 'Description': {'Sexy Men&#39;s Swimwear': 1, 'Men&#39;s Swimwear Swimsuits': 1, 'Men Surf Board Trunks Shorts': 1}}"
660,P&amp;j Sexy Bikinis One Piece Swimsuit With Lace Swimwear Women One Piece Vintage 2018 Swimsuit Women Monokinis Deep V Trikini,Swimwear,"{'Gender': {'Women': 1}, 'Brand Name': {'P&amp;j': 1}}"
661,CUPSHE 2018 Sexy Army Green Black Mesh Bikini Set Women Patchwork Tied High Waist Two Pieces Swimwear Girl Sexy Beach Swimsuits,Swimwear,"{'Gender': {'Women': 1}, 'Pattern': {'Patchwork': 1}, 'Brand Name': {'CUPSHE': 1}}"
662,13 Colors Men Swimwear Breathable Sport Shorts Men&#39;s Swim Trunks Boxer Briefs Beach Clothes Shorts Bathing Underpants for Male ,Swimwear,"{'Gender': {'Men': 1}, 'Feature': {'Bathing Underpants for Male': 1}}"
663,BAOHULU Toddler Girls Swimwear Cute Kids Swimsuit Swan Flamingo 2018 Summer Girl Bathing Suit One Pieces Beach Wear for Children,Swimwear,"{'Gender': {'Girls': 1}, 'Brand Name': {'BAOHULU': 1}}"
664,New Arrival High Waist Swim Trunks Bikini Bottoms Women Beach Print Floral Swimwear underwear Swimming Shorts Briefs,Swimwear,"{'Pattern': {'Print Floral': 1}, 'Gender': {'Women': 1}}"
665,CUPSHE Pink Flora Print One Shoulder Ruffle Bikini Set Women High-Waist Two Pieces Swimwear 2018 Beach Bathing Suit Swimsuits,Swimwear,"{'Gender': {'Women': 1}, 'Brand Name': {'CUPSHE': 1}, 'Pattern': {'Flora Print': 1}}"
666,Onedoyee Men&#39;s Swim Briefs Sexy Men Swimming Trunks Male Swimwear Swimsuit Bathing Suit Board Shorts Summer Beach Wear Quick Dry,Swimwear,"{'Pattern': {'n/a': 1}, 'Gender': {'Men': 1}}"
667,Maxmessy Children&#39;s Swimsuit Girls Bikini Baby Kids Swimwear Swim Swimsuits Girl Swimming Clothes Top Briefs Two Pieces Set,Swimwear,"{'Brand Name': {'Maxmessy': 1}, 'Gender': {'Girls': 1}}"
668,Ariel Sarah Bikini 2018 Floral Swimwear Women Swimsuit Bandage Bikinis Set Bathing Suit Sexy Biqini Maillot De Bain Femme,Swimwear,"{'Gender': {'Women': 1}, 'Brand Name': {'Ariel Sarah': 1}, 'Feature': {'Floral': 1}}"
669,RXRXCOCO One Pieces Swimsuit 2017 Sexy Swimwear Women Halter Bandage Bathing Suit High Neck Swimming Wear Padded Monokini,Swimwear,"{'Gender': {'Women': 1}, 'Model Number': {'n/a': 1}, 'Brand Name': {'RXRXCOCO': 1}}"
670,LYSEACIA Dual Zippers Swimwear Women One Pieces swimsuit Slim Waist Rash Guard Surfing Swimming Suit Stand Collar Rashguards,Swimwear,"{'Gender': {'Women': 1}, 'Brand Name': {'LYSEACIA': 1}}"
671,Pacento Bikinis Set Crochet Micro Bikini String Rinestone Diamond Sexy Swimwear Women Micro Bathing Suit Bikinis 2018 Mujer,Swimwear,"{'Gender': {'Women': 1}, 'Feature': {'n/a': 1}}"
672,MUQGEW 2018 Bikini Brazilian Women Swimsuit Floral Printed Bikini Set Pad Bikini Low Waist Bandage Swimwear Flower Print Biquini,Swimwear,"{'Gender': {'Women': 1}, 'Pattern': {'Print': 1}, 'Model Number': {'Swimsuit': 1}, 'Brand Name': {'MUQGEW': 1}}"
673,FS Male Sport Fight Color Swimming Swim Briefs Trunks For Men Summer Beach Wear Mens Swim Trunks Swimwear Comfortable 5XL,Swimwear,"{'Brand Name': {'FS': 1}, 'Gender': {'Men': 1}}"
